Device Time, G(x), G(y), G(z), G(calibrated),Engine RPM(rpm),Fuel flow rate/minute(gal/min),Torque(Nm),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Y axis)(g),Mass Air Flow Rate(g/s),Speed (OBD)(mph),Relative Accelerator Pedal Position(%),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%)
15-Jan-2015 17:01:38.471,0.27772433,0.96724951,9.26076317,-0.12023892,2385,0.01253241,16.09694099,-0.07157212,0.09859832,0.82253587,0.02440566,7.46000004,33.55404282,-,-,-,-
15-Jan-2015 17:01:39.469,0.90979236,1.15879297,7.99662685,-0.1521306,2388.25,0.01805944,16.09694099,-0.17084745,0.09274132,0.71515054,0.11812364,10.75,33.55404282,-,-,-,-
15-Jan-2015 17:01:40.467,0.23941956,0.78529692,9.34696388,-0.0245322,2437.5,0.02488003,-,-0.02201962,0.04002532,0.86841917,0.12788531,14.81000042,33.55404282,-,-,-,-
15-Jan-2015 17:01:41.470,-0.00957129,0.15322891,8.15943718,-0.14910591,2460,0.01889941,-,-0.23857109,0.04295333,0.65071958,0.11812364,11.25,34.79678726,-,-,-,-
15-Jan-2015 17:01:42.470,-0.11491433,-0.32561022,8.68616199,-0.05198923,2400,0.00487185,16.12409019,-0.11355843,-0.011714,0.78543955,-0.03319166,2.9000001,34.17541504,-,-,-,-
15-Jan-2015 17:01:43.472,-0.21068607,-0.78529692,7.67101669,-0.07183634,2283.5,0.00482145,16.12409019,0.00973404,-0.03416733,0.90453887,-0.09274132,2.86999989,32.93267441,-,-,-,-
15-Jan-2015 17:01:44.469,1.0247165,-1.28328848,10.0460701,0.05665642,2162.5,0.00472065,16.12409019,0.32293406,-0.15131532,1.20717037,0.13178998,2.80999994,31.68992996,-,-,-,-
15-Jan-2015 17:01:45.468,-0.48841041,0,7.74763632,-0.18966305,2099,0.00472065,-,-0.20839274,-0.04978699,0.68976921,0,2.80999994,29.82581711,-,-,-,-
15-Jan-2015 17:01:46.471,0.22025737,-0.57460105,8.57123756,-0.1050266,2003,0.00692139,-,-0.09785037,0.10152732,0.79129648,-0.09274132,4.11999989,29.20444679,-,-,-,-
15-Jan-2015 17:01:47.468,0.09576194,-0.995983,8.94473362,-0.09940059,1969.5,0.00994529,-,-0.17015848,0.041001,0.72686553,-0.05271599,5.92000008,27.34033203,-,-,-,-
